date,zip,territory,people_served_num,smoke_alarms_installed_num,fire_escape_plans_num,additional_hazards_num,year,month,dow,is_weekend
2017-11-07,92177,San Diego,3,3,1.0,0,2017,11,1,0
2025-06-17,90073,LA Metro,10,9,0.0,1,2025,6,1,0
2020-09-02,93149,Central Coast,4,1,1.0,0,2020,9,2,0
2024-07-20,92797,Orange County,1,1,0.0,0,2024,7,5,1
2023-05-20,90108,LA Metro,2,5,0.0,0,2023,5,5,1
2021-12-22,92743,Orange County,9,6,2.0,0,2021,12,2,0
2019-03-10,92413,Inland Empire-X,0,2,2.0,0,2019,3,6,1
2018-10-16,90102,LA Metro,3,1,0.0,2,2018,10,1,0
2016-10-17,92732,Orange County,4,4,1.0,1,2016,10,0,0
2018-01-09,90149,LA Metro,7,6,2.0,0,2018,1,1,0
2019-06-29,90134,LA Metro,10,5,1.0,0,2019,6,5,1
2020-04-05,93486,Central Coast-X,0,0,1.0,1,2020,4,6,1
2023-12-04,93442,Central Coast,2,2,1.0,0,2023,12,0,0
2019-12-08,92769,Orange County,6,2,0.0,1,2019,12,6,1
2015-10-25,92594,Inland Empire,1,1,0.0,0,2015,10,6,1
2020-02-05,90113,LA Metro,12,6,0.0,0,2020,2,2,0
2023-07-22,92522,Inland Empire-X,5,3,0.0,1,2023,7,5,1
2019-01-05,90128,LA Metro,4,3,1.0,1,2019,1,5,1
2022-08-18,92760,Orange County,3,2,,0,2022,8,3,0
2023-12-29,92570,Inland Empire,0,0,1.0,0,2023,12,4,0
2022-08-22,91944,San Diego,0,1,0.0,1,2022,8,0,0
2017-03-31,92353,Inland Empire,4,4,1.0,0,2017,3,4,0
2015-03-12,92346,Inland Empire,8,5,1.0,1,2015,3,3,0
2023-06-12,92385,Inland Empire,12,7,3.0,1,2023,6,0,0
2019-06-18,92426,Inland Empire,0,5,0.0,0,2019,6,1,0
2016-10-16,92126,San Diego,1,2,3.0,0,2016,10,6,1
2022-06-15,91980,San Diego,1,5,1.0,0,2022,6,2,0
2020-11-04,92659,Orange County,0,1,2.0,0,2020,11,2,0
2015-06-23,92631,Orange County,6,4,1.0,1,2015,6,1,0
2015-07-14,92455,Inland Empire,0,0,2.0,0,2015,7,1,0
2021-11-13,93116,Central Coast,3,3,,0,2021,11,5,1
2023-02-04,92793,Orange County,4,2,0.0,1,2023,2,5,1
2022-02-09,92645,Orange County,11,7,1.0,0,2022,2,2,0
2024-02-09,90075,LAMetro,0,0,1.0,2,2024,2,4,0
2020-02-28,92481,InlandEmpire,1,2,1.0,0,2020,2,4,0
2022-06-01,92552,Inland Empire,1,1,0.0,0,2022,6,2,0
2018-02-11,92157,San Diego,2,0,0.0,0,2018,2,6,1
2022-03-28,92587,Inland Empire,1,0,0.0,2,2022,3,0,0
2019-03-15,92008,San Diego,0,0,1.0,1,2019,3,4,0
2018-11-05,92542,Inland Empire,3,3,0.0,0,2018,11,0,0
2021-12-31,91929,San Diego,6,3,1.0,0,2021,12,4,0
2015-10-23,92105,San Diego,3,2,0.0,0,2015,10,4,0
2025-04-05,90058,LA Metro,8,18,2.0,3,2025,4,5,1
2018-11-17,92768,Orange County,0,1,1.0,0,2018,11,5,1
2018-12-22,92570,Inland Empire,1,2,0.0,1,2018,12,5,1
2024-02-19,92165,San Diego,12,7,1.0,0,2024,2,0,0
2025-04-26,92327,Inland Empire,12,10,1.0,0,2025,4,5,1
2015-08-05,90007,LA Metro,6,2,0.0,0,2015,8,2,0
2015-11-10,90107,LA Metro,2,1,2.0,0,2015,11,1,0
2018-05-10,90018,LA Metro,5,5,0.0,0,2018,5,3,0
2022-02-03,92115,San Diego,15,9,0.0,1,2022,2,3,0
2020-12-19,92154,San Diego,0,0,1.0,0,2020,12,5,1
2025-02-02,92444,Inland Empire,4,1,0.0,0,2025,2,6,1
2021-05-18,92664,Orange County,9,9,0.0,0,2021,5,1,0
2023-12-25,90086,LA Metro,12,7,0.0,0,2023,12,0,0
2025-05-22,92437,Inland Empire,17,13,0.0,0,2025,5,3,0
2021-02-22,92364,Inland Empire,0,0,2.0,0,2021,2,0,0
2023-03-25,91971,San Diego,0,0,1.0,0,2023,3,5,1
2019-04-07,90005,LA Metro,9,5,1.0,2,2019,4,6,1
2019-01-12,92798,Orange County,9,7,1.0,2,2019,1,5,1
2018-03-02,92562,Inland Empire,0,0,,0,2018,3,4,0
2015-09-03,92091,San Diego,0,0,1.0,0,2015,9,3,0
2019-12-19,90006,LA Metro,1,1,0.0,0,2019,12,3,0
2016-01-02,91958,San Diego,9,7,0.0,0,2016,1,5,1
2020-01-06,90132,LA Metro,21,12,1.0,2,2020,1,0,0
2018-02-11,90134,LA Metro,4,2,0.0,0,2018,2,6,1
2019-05-05,91968,San Diego,2,1,0.0,0,2019,5,6,1
2023-05-03,93498,Central Coast,0,0,2.0,0,2023,5,2,0
2021-10-15,92689,Orange County,7,7,1.0,0,2021,10,4,0
2017-09-02,92134,San Diego,4,6,0.0,0,2017,9,5,1
2022-02-27,92608,Orange County,0,0,1.0,0,2022,2,6,1
2024-01-13,93474,Central Coast,4,2,0.0,0,2024,1,5,1
2021-02-07,90092,LA Metro,12,7,1.0,1,2021,2,6,1
2017-10-09,92344,Inland Empire,19,17,0.0,1,2017,10,0,0
2025-03-28,93459,Central Coast,4,2,,0,2025,3,4,0
2018-08-29,90175,LA Metro,6,5,0.0,0,2018,8,2,0
2018-12-16,92656,Orange County,5,1,2.0,0,2018,12,6,1
2022-05-08,92067,San Diego,0,0,0.0,2,2022,5,6,1
2019-01-10,92348,Inland Empire,15,17,0.0,0,2019,1,3,0
2023-06-05,92567,Inland Empire,1,3,0.0,1,2023,6,0,0
2022-02-28,90158,LA Metro,8,7,0.0,1,2022,2,0,0
2020-07-12,90138,LA Metro,1,1,0.0,1,2020,7,6,1
2024-08-21,90112,LA Metro,5,6,0.0,0,2024,8,2,0
2024-09-01,90041,LAMetro,8,8,1.0,0,2024,9,6,1
2021-09-21,92362,Inland Empire,1,0,1.0,0,2021,9,1,0
2024-06-19,93476,Central Coast,3,2,,1,2024,6,2,0
2016-04-02,92174,San Diego,3,5,0.0,2,2016,4,5,1
2017-01-02,92310,Inland Empire,9,8,0.0,1,2017,1,0,0
2015-10-14,90025,LA Metro,3,2,0.0,0,2015,10,2,0
2017-12-07,90015,LA Metro,1,2,0.0,0,2017,12,3,0
2025-01-28,90166,LA Metro,7,4,1.0,1,2025,1,1,0
2024-04-27,92443,Inland Empire,4,1,1.0,1,2024,4,5,1
2023-08-07,93120,Central Coast,0,0,1.0,0,2023,8,0,0
2015-12-13,92600,Orange County,5,3,,0,2015,12,6,1
2015-11-26,90161,LA Metro,1,1,0.0,1,2015,11,3,0
2018-08-27,90016,LA Metro,2,1,0.0,1,2018,8,0,0
2019-09-06,93423,Central Coast,1,1,1.0,1,2019,9,4,0
2019-08-26,90170,LA Metro,8,4,0.0,1,2019,8,0,0
2018-10-07,92369,Inland Empire,2,5,0.0,0,2018,10,6,1
2022-03-21,92471,Inland Empire,5,3,1.0,0,2022,3,0,0
2016-11-15,90172,LA Metro,4,3,0.0,1,2016,11,1,0
2025-02-07,90169,LA Metro,2,1,1.0,0,2025,2,4,0
2016-02-25,90071,LA Metro,6,7,0.0,0,2016,2,3,0
2018-11-01,92659,Orange County,0,1,0.0,0,2018,11,3,0
2021-04-02,92680,Orange County,3,3,1.0,0,2021,4,4,0
2022-03-19,90067,LA Metro-X,3,2,1.0,0,2022,3,5,1
2019-01-11,93481,Central Coast,1,2,0.0,0,2019,1,4,0
2020-03-22,93113,Central Coast,9,3,1.0,0,2020,3,6,1
2021-02-07,93446,Central Coast,0,0,0.0,2,2021,2,6,1
2023-09-10,92610,Orange County,7,5,1.0,0,2023,9,6,1
2019-09-01,92198,San Diego,0,0,1.0,0,2019,9,6,1
2016-09-08,92527,Inland Empire,1,1,0.0,1,2016,9,3,0
2022-04-04,93101,Central Coast,2,1,1.0,0,2022,4,0,0
2017-03-16,90014,LA Metro,11,8,0.0,0,2017,3,3,0
2020-07-19,93101,Central Coast,0,0,1.0,0,2020,7,6,1
2024-03-16,92164,San Diego-X,0,0,1.0,0,2024,3,5,1
2022-01-14,90076,LA Metro,3,3,2.0,2,2022,1,4,0
2016-08-13,93182,Central Coast,1,2,0.0,0,2016,8,5,1
2016-03-25,91929,San Diego,0,1,1.0,0,2016,3,4,0
2025-06-26,92512,Inland Empire,4,5,0.0,0,2025,6,3,0
2025-07-31,92615,Orange County,3,2,0.0,0,2025,7,3,0
2025-04-21,92788,Orange County,0,0,1.0,0,2025,4,0,0
2016-02-03,92424,Inland Empire,1,0,1.0,1,2016,2,2,0
2017-08-11,90110,LA Metro,8,6,0.0,0,2017,8,4,0
2024-07-07,92423,Inland Empire,8,5,1.0,0,2024,7,6,1
2015-03-08,92692,Orange County,5,4,1.0,1,2015,3,6,1
2017-07-01,92376,Inland Empire,0,1,0.0,0,2017,7,5,1
2023-09-06,90135,LA Metro,6,4,0.0,0,2023,9,2,0
2024-05-17,92400,Inland Empire,0,0,0.0,1,2024,5,4,0
2016-03-28,92387,Inland Empire,2,2,0.0,0,2016,3,0,0
2018-12-10,90030,LA Metro,7,8,0.0,2,2018,12,0,0
2024-05-23,92470,Inland Empire,1,2,0.0,0,2024,5,3,0
2017-09-29,90063,LA Metro,10,6,0.0,0,2017,9,4,0
2022-08-26,92419,Inland Empire,5,3,0.0,0,2022,8,4,0
2021-11-25,92388,Inland Empire,0,1,1.0,0,2021,11,3,0
2018-02-15,92795,Orange County,7,6,0.0,0,2018,2,3,0
2023-08-31,92148,San Diego,1,0,1.0,1,2023,8,3,0
2023-06-20,90195,LA Metro,5,4,1.0,0,2023,6,1,0
2015-08-22,92302,Inland Empire,0,0,2.0,1,2015,8,5,1
2018-02-01,90092,LA Metro,14,13,1.0,0,2018,2,3,0
2017-09-22,91978,San Diego,2,1,0.0,1,2017,9,4,0
2025-05-23,90113,LA Metro,12,8,2.0,2,2025,5,4,0
2020-11-15,92637,Orange County,9,5,2.0,1,2020,11,6,1
2025-02-18,93146,Central Coast,2,2,1.0,0,2025,2,1,0
2025-02-25,90022,LA Metro,8,7,0.0,0,2025,2,1,0
2019-04-30,92540,Inland Empire,12,12,2.0,0,2019,4,1,0
2025-04-13,90159,LA Metro,5,2,1.0,1,2025,4,6,1
2024-05-12,92609,Orange County,2,2,1.0,1,2024,5,6,1
2019-10-07,92713,Orange County,7,5,0.0,0,2019,10,0,0
2016-08-16,92027,San Diego,2,4,,0,2016,8,1,0
2023-07-02,90059,LA Metro,7,5,1.0,0,2023,7,6,1
2018-10-18,92658,Orange County,0,0,0.0,1,2018,10,3,0
2024-04-13,92710,Orange County,7,3,2.0,0,2024,4,5,1
2022-10-28,92180,San Diego,7,6,0.0,0,2022,10,4,0
2023-10-10,92197,San Diego,4,4,1.0,0,2023,10,1,0
2023-11-12,90059,LA Metro,4,3,1.0,1,2023,11,6,1
2018-06-17,92027,San Diego,6,3,2.0,1,2018,6,6,1
2025-06-28,90134,LA Metro,10,9,0.0,0,2025,6,5,1
2019-12-10,92132,San Diego,6,2,2.0,0,2019,12,1,0
2020-08-28,92164,San Diego,1,2,0.0,0,2020,8,4,0
2025-05-21,93479,Central Coast,3,1,1.0,0,2025,5,2,0
2015-10-02,92417,Inland Empire,12,5,0.0,0,2015,10,4,0
2025-09-09,92415,Inland Empire,2,3,1.0,1,2025,9,1,0
2018-02-14,90115,LA Metro,5,3,2.0,0,2018,2,2,0
2024-04-09,91924,San Diego,0,0,1.0,0,2024,4,1,0
2018-05-12,93100,Central Coast,2,3,0.0,0,2018,5,5,1
2016-03-02,92432,Inland Empire,4,3,0.0,1,2016,3,2,0
2023-10-15,90065,LA Metro,7,5,0.0,1,2023,10,6,1
2017-08-15,92024,San Diego,3,3,0.0,0,2017,8,1,0
2022-12-22,92194,San Diego,1,1,1.0,0,2022,12,3,0
2017-08-12,90141,LAMetro,7,3,1.0,0,2017,8,5,1
2016-04-27,90169,LA Metro,4,3,1.0,2,2016,4,2,0
2019-10-14,92348,Inland Empire,3,3,1.0,0,2019,10,0,0
2023-02-24,92426,Inland Empire,2,1,0.0,0,2023,2,4,0
2024-06-02,92788,Orange County,4,4,0.0,1,2024,6,6,1
2019-10-14,93101,Central Coast,3,2,1.0,0,2019,10,0,0
2017-06-30,90039,LA Metro,3,1,0.0,1,2017,6,4,0
2021-11-03,92687,Orange County,3,3,3.0,0,2021,11,2,0
2017-09-06,90113,LA Metro,4,4,1.0,0,2017,9,2,0
2023-02-21,90142,LA Metro,5,3,0.0,1,2023,2,1,0
2017-04-09,92417,Inland Empire,22,9,0.0,0,2017,4,6,1
2018-01-06,90060,LA Metro,1,1,1.0,2,2018,1,5,1
2018-03-14,93187,Central Coast,8,2,2.0,0,2018,3,2,0
2025-03-12,90186,LA Metro,7,6,1.0,0,2025,3,2,0
2024-05-19,92796,Orange County,4,5,2.0,1,2024,5,6,1
2021-03-06,90130,LA Metro,4,3,0.0,1,2021,3,5,1
2017-05-24,92577,Inland Empire,5,6,1.0,0,2017,5,2,0
2017-03-27,90088,LA Metro,7,10,0.0,1,2017,3,0,0
2023-08-17,90089,LA Metro,7,7,0.0,1,2023,8,3,0
2019-02-17,92166,San Diego,0,0,1.0,0,2019,2,6,1
2025-06-01,91976,San Diego,6,5,0.0,0,2025,6,6,1
2015-02-16,90084,LA Metro,11,7,0.0,1,2015,2,0,0
2021-05-23,92679,Orange County,7,6,0.0,1,2021,5,6,1
2024-01-23,90134,LA Metro,2,3,0.0,0,2024,1,1,0
2022-11-10,90031,LA Metro,27,24,1.0,0,2022,11,3,0
2018-05-05,90118,LA Metro,0,1,0.0,0,2018,5,5,1
2016-08-14,92496,Inland Empire,3,1,0.0,0,2016,8,6,1
2020-02-22,92669,Orange County,1,1,0.0,1,2020,2,5,1
2023-08-02,92581,Inland Empire,0,0,3.0,0,2023,8,2,0
2022-06-13,93186,Central Coast,1,2,0.0,0,2022,6,0,0
2022-02-01,92775,Orange County,1,1,0.0,1,2022,2,1,0
2017-07-22,92670,Orange County,6,2,1.0,0,2017,7,5,1
2015-12-29,92732,Orange County-X,3,3,0.0,0,2015,12,1,0
2025-05-08,92424,Inland Empire,3,3,0.0,0,2025,5,3,0
2018-07-17,90077,LA Metro,4,4,1.0,0,2018,7,1,0
2017-07-29,93106,Central Coast,0,0,1.0,0,2017,7,5,1
2015-04-05,90161,LA Metro,14,4,0.0,0,2015,4,6,1
2018-10-02,90096,LAMetro,2,1,0.0,2,2018,10,1,0
2015-05-15,90096,LA Metro,2,1,2.0,0,2015,5,4,0
2017-10-13,92309,Inland Empire,7,7,1.0,1,2017,10,4,0
2015-08-25,93171,Central Coast,9,4,1.0,0,2015,8,1,0
2015-05-16,92439,Inland Empire,2,3,0.0,0,2015,5,5,1
2020-02-11,92682,Orange County,1,0,2.0,1,2020,2,1,0
2019-03-19,90094,LA Metro,0,0,2.0,0,2019,3,1,0
2016-12-15,92651,Orange County,6,4,0.0,2,2016,12,3,0
2022-11-03,90061,LA Metro,5,5,0.0,0,2022,11,3,0
2015-08-05,90036,LA Metro,2,7,0.0,0,2015,8,2,0
2015-11-15,90074,LA Metro,2,2,2.0,0,2015,11,6,1
2016-08-18,90138,LA Metro,1,1,1.0,1,2016,8,3,0
2018-09-29,92158,San Diego,6,4,1.0,1,2018,9,5,1
2020-05-17,92421,Inland Empire,11,15,1.0,1,2020,5,6,1
2016-06-03,92345,Inland Empire,4,2,1.0,1,2016,6,4,0
2025-06-24,92455,Inland Empire,5,4,0.0,0,2025,6,1,0
2023-06-27,92340,Inland Empire,1,1,0.0,0,2023,6,1,0
2019-12-18,93148,Central Coast,8,6,0.0,1,2019,12,2,0
2025-04-10,90103,LA Metro,7,10,0.0,0,2025,4,3,0
2021-11-24,90043,LA Metro,2,3,0.0,0,2021,11,2,0
2022-07-13,91950,San Diego,4,4,1.0,0,2022,7,2,0
2015-03-08,90045,LA Metro,1,2,1.0,0,2015,3,6,1
2022-11-30,93106,Central Coast,4,6,0.0,1,2022,11,2,0
2020-06-04,90049,LA Metro,11,9,0.0,0,2020,6,3,0
2022-09-09,92763,Orange County,5,3,1.0,0,2022,9,4,0
2018-10-16,92420,Inland Empire,1,2,0.0,0,2018,10,1,0
2015-11-22,92510,Inland Empire,5,3,1.0,0,2015,11,6,1
2023-06-12,90050,LA Metro,9,3,1.0,1,2023,6,0,0
2023-12-14,90171,LA Metro,8,4,1.0,1,2023,12,3,0
2024-09-16,92060,San Diego,4,2,1.0,0,2024,9,0,0
2022-02-13,92669,Orange County,8,3,3.0,1,2022,2,6,1
2022-02-11,92584,Inland Empire,12,3,1.0,1,2022,2,4,0
2015-11-10,90057,LA Metro,7,8,1.0,0,2015,11,1,0
2025-08-24,92588,Inland Empire,0,0,0.0,0,2025,8,6,1
2019-06-13,92448,Inland Empire,2,4,2.0,1,2019,6,3,0
2022-08-12,90002,LA Metro,11,11,0.0,0,2022,8,4,0
2021-04-15,92469,Inland Empire,0,0,2.0,0,2021,4,3,0
2015-08-23,91908,San Diego,8,6,1.0,0,2015,8,6,1
2018-04-12,91957,San Diego,1,3,2.0,0,2018,4,3,0
2017-03-05,93121,Central Coast,0,1,2.0,1,2017,3,6,1
2017-10-04,92685,Orange County,4,2,0.0,0,2017,10,2,0
2016-08-02,92346,Inland Empire,7,7,1.0,0,2016,8,1,0
2017-10-11,92332,Inland Empire,4,6,0.0,1,2017,10,2,0
2017-06-10,92551,Inland Empire,5,5,,0,2017,6,5,1
2018-12-16,92528,Inland Empire,1,0,0.0,0,2018,12,6,1
2024-05-23,93190,Central Coast,3,4,0.0,0,2024,5,3,0
2018-11-08,92307,Inland Empire-X,1,2,0.0,2,2018,11,3,0
2025-04-17,92408,Inland Empire,4,1,0.0,1,2025,4,3,0
2023-03-12,90187,LA Metro,0,0,0.0,2,2023,3,6,1
2025-05-16,92196,San Diego,3,1,1.0,0,2025,5,4,0
2016-02-18,92095,San Diego,4,2,0.0,0,2016,2,3,0
2024-10-28,92056,San Diego,0,1,1.0,0,2024,10,0,0
2016-07-04,92387,Inland Empire,2,2,0.0,0,2016,7,0,0
2022-06-18,90101,LA Metro,2,6,1.0,0,2022,6,5,1
2016-11-07,93463,Central Coast,13,5,2.0,1,2016,11,0,0
2024-11-10,92757,Orange County,1,1,1.0,0,2024,11,6,1
2025-06-13,90027,LA Metro,1,3,1.0,1,2025,6,4,0
2023-03-07,92497,Inland Empire,2,1,1.0,0,2023,3,1,0
2017-11-04,90095,LA Metro,5,5,0.0,0,2017,11,5,1
2025-01-12,90173,LAMetro,4,2,0.0,0,2025,1,6,1
2017-08-17,90010,LA Metro,0,3,0.0,0,2017,8,3,0
2017-04-05,92712,Orange County,1,0,1.0,0,2017,4,2,0
2022-11-26,92331,Inland Empire,0,0,0.0,0,2022,11,5,1
2018-04-09,92727,Orange County,0,1,1.0,0,2018,4,0,0
2024-08-10,93435,Central Coast-X,0,1,0.0,1,2024,8,5,1
2025-07-06,92674,Orange County,9,5,1.0,0,2025,7,6,1
2017-01-07,92662,Orange County,1,1,1.0,2,2017,1,5,1
2015-05-02,92585,Inland Empire,2,3,0.0,2,2015,5,5,1
2022-12-25,92394,Inland Empire,8,10,0.0,1,2022,12,6,1
2018-02-01,92626,Orange County,0,1,2.0,0,2018,2,3,0
2019-05-11,93131,Central Coast,7,3,0.0,0,2019,5,5,1
2021-04-04,90080,LA Metro,4,3,2.0,0,2021,4,6,1
2015-02-26,92537,Inland Empire,1,2,0.0,1,2015,2,3,0
2020-04-11,90031,LA Metro,14,10,1.0,0,2020,4,5,1
2017-11-17,92584,Inland Empire,1,1,0.0,2,2017,11,4,0
2016-10-25,92657,Orange County,5,4,0.0,0,2016,10,1,0
2024-07-30,92570,Inland Empire,5,4,1.0,0,2024,7,1,0
2020-02-12,91914,San Diego,6,5,0.0,1,2020,2,2,0
2016-11-30,92036,San Diego,4,7,1.0,0,2016,11,2,0
2023-03-24,91907,San Diego,5,3,1.0,2,2023,3,4,0
2019-07-02,92792,Orange County,12,7,0.0,1,2019,7,1,0
2016-05-29,92675,Orange County,7,5,0.0,0,2016,5,6,1
2022-02-13,92372,Inland Empire,1,1,0.0,1,2022,2,6,1
2025-08-31,90190,LA Metro,6,4,3.0,0,2025,8,6,1
2019-11-30,91989,San Diego,0,1,1.0,0,2019,11,5,1
